Batch:
	Timestamp: 2022-01-24 03:50:00
	Sources: ['inet-firewall_logs_dnsmasq.log', 'inet-dns_logs_dnsmasq.log']
	Labels: ['dnsteal', 'attacker', 'dnsteal-received']
	213422 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:39:54  |  Jan 24 03....8.230.122
	213423 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:39:54  |  Jan 24 03....8.194.168
	219737 | LOG NAME= inet-firewall_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:07  |  Jan 24 03....143.0.103
	219738 | LOG NAME= inet-firewall_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:07  |  Jan 24 03....8.231.254
	219739 | LOG NAME= inet-firewall_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:07  |  Jan 24 03....8.194.168
	213424 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:07  |  Jan 24 03....168.230.4
	213425 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:07  |  Jan 24 03....8.230.122
	213426 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:07  |  Jan 24 03....8.194.168
	219740 | LOG NAME= inet-firewall_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:25  |  Jan 24 03....143.0.103
	219741 | LOG NAME= inet-firewall_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:25  |  Jan 24 03....8.231.254
	219742 | LOG NAME= inet-firewall_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:25  |  Jan 24 03....8.194.168
	213427 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:25  |  Jan 24 03....168.230.4
	213428 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:25  |  Jan 24 03....8.230.122
	213429 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:25  |  Jan 24 03....8.194.168
	219743 | LOG NAME= inet-firewall_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:37  |  Jan 24 03....143.0.103
	219744 | LOG NAME= inet-firewall_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:37  |  Jan 24 03....8.231.254
	219745 | LOG NAME= inet-firewall_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:37  |  Jan 24 03....8.194.168
	213430 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:37  |  Jan 24 03....168.230.4
	213431 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:37  |  Jan 24 03....8.230.122
	213432 | LOG NAME= inet-dns_logs_dnsmasq.log  |  TIMESTAMP= 2022-01-24 03:40:37  |  Jan 24 03....8.194.168
{'malicious': 'False', 'query': ''}

Batch:
	Timestamp: 2022-01-24 03:50:00
	Sources: ['inet-firewall_logs_dnsmasq.log', 'inet-dns_logs_dnsmasq.log']
